idx,area,name,addr1,addr2,zipcode,open_info,close_info,type,target1_code,target1_etc,target2_code,target2_etc,item_code,item_etc,lat,lng,img_name,sup_obj,sup_num,sup_item,storetype,score,eatin,takeout,delivery,img_src,url
512,강동구,암사비치푸드마켓,서울 강동구 상암로 24,2층 암사비치푸드마켓,25,pm 4::30 ~ PM 12:00,없음,1,3,,"01,02",,1,,37.55052146,127.1262047,,"결식아동,독거노인",동반 2인,,서양음식전문점,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/512/b9ceb64d3ffb48caa7b63ad73eb3e65d.jpg,"https://www.google.com/maps/place/%EC%95%94%EC%82%AC%EB%B9%84%EC%B9%98%ED%91%B8%EB%93%9C%EB%A7%88%EC%BC%93/@37.5505705,127.1238948,17z/data=!3m1!4b1!4m5!3m4!1s0x357cb12928466059:0xba06860c7944031a!8m2!3d37.5505663!4d127.1260888"
978,강동구,미미고찹쌀꽈배기강동구청점,서울 강동구 성내로 7,1층 101호(성내동),25,09:00 ~ 21:00,"1, 3주 일요일",1,2,,1,,2,,37.53062111,127.1217148,2fad6b7e0ab54666b65b8e130cccf62e.jpg,결식아동,동반 1인,,음식점,4.5,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/978/2008936ebe7748d09ecbcc1422f7fc71.jpg,"https://www.google.com/maps/place/%EB%AF%B8%EB%AF%B8%EA%B3%A0+%EC%B0%B9%EC%8C%80%EA%BD%88%EB%B0%B0%EA%B8%B0/@37.5639516,127.187389,17z/data=!4m8!1m2!2m1!1z66-466-46rOg7LC57IyA6r2I67Cw6riw6rCV64-Z6rWs7LKt7KCQIDM3LjUzMDYyMTExMjA0ODUsIDEyNy4xMjE3MTQ3OTEwMzg!3m4!1s0x357cb178cc6b6f71:0xb6d539c373bbe033!8m2!3d37.5639474!4d127.189583"
330,강동구,엥겔플랜트,서울 강동구 성안로 39,1층 103호 엥겔커피,25,12:00-24:00,매주 수요일,1,2,,1,,1,,37.52738373,127.1303196,,결식아동,동반 1인,,,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/330/e09c0dd6c3ee424db65318dac9c41e0a.jpg,"https://www.google.com/maps/search/%EC%97%A5%EA%B2%94%ED%94%8C%EB%9E%9C%ED%8A%B8+37.527383733568,+127.130319582447/@37.5639516,127.187389,17z"
123,강동구,식사준비 강일점,서울 강동구 아리수로93나길 50,105호 식사준비,25,10:00~20:00,없음,1,1,,1,,1,,37.57209972,127.174498,7a3e969675c24fceba5d7edbe1510e68.png,결식아동,아이 본인만,,미용실,4.6,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/123/efad0554b695440c8f9e44553b09e404.jpg,"https://www.google.com/maps/place/%EB%82%98%EC%9D%B4%EC%8A%A4%EA%B0%80%EC%9D%B4+%EA%B0%95%EC%9D%BC%EC%A0%90/@37.5639886,127.1720198,14z/data=!4m9!1m2!2m1!1z7Iud7IKs7KSA67mEIOqwleydvOygkCAzNy41NzIwOTk3MTc3MDA4LCAxMjcuMTc0NDk3OTg5Mzc2!3m5!1s0x357cb1184cfca0c5:0x9f3d2fd86789eb25!8m2!3d37.5644045!4d127.1737457!15sCjnsi53sgqzspIDruYQg6rCV7J287KCQIDM3LjU3MjA5OTcxNzcwMDgsIDEyNy4xNzQ0OTc5ODkzNzaSAQxiZWF1dHlfc2Fsb24"
596,강동구,신참떡볶이 굽은다리역점,서울 강동구 양재대로 1549,신참떡볶이,25,10시30분~22시 30분,없음,1,2,,1,,2,,37.54404843,127.1420544,,결식아동,동반 1인,,한식당,3,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/596/1c7796014ecd430a9442750f9013d5cf.jpg,"https://www.google.com/maps/place/%EC%8B%A0%EC%B0%B8%EB%96%A1%EB%B3%B6%EC%9D%B4/@37.5641366,127.1192749,12z/data=!4m9!1m2!2m1!1z7Iug7LC465ah67O27J20IOq1veydgOuLpOumrOyXreygkCAzNy41NDQwNDg0MzE3MDIyLCAxMjcuMTQyMDU0MzUxMzU4!3m5!1s0x357cb045cb64e58b:0xc1b0164b1330190b!8m2!3d37.5532835!4d127.155457!15sCkXsi6DssLjrlqHrs7bsnbQg6rW97J2A64uk66as7Jet7KCQIDM3LjU0NDA0ODQzMTcwMjIsIDEyNy4xNDIwNTQzNTEzNTgiA4gBAVpJIkfsi6DssLgg65ah67O27J20IOq1veydgCDri6Trpqwg7Jet7KCQIDM3LjU0NDA0ODQzMTcwMjIgMTI3LjE0MjA1NDM1MTM1OJIBEWtvcmVhbl9yZXN0YXVyYW50"
654,강동구,라라브레드,서울 강동구 양재대로116길 13,라라브레드 1층,25,11:00 ~ 20:00,x,1,1,,1,,99,직원선택 빵2종,37.53867777,127.1412204,,결식아동,아이 본인만,직원선택 빵2종,카페,4.4,매장 내 식사,테이크아웃,배달 서비스,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png,"https://www.google.com/maps/place/%EB%9D%BC%EB%9D%BC%EB%B8%8C%EB%A0%88%EB%93%9C/@37.5248799,127.1075995,14z/data=!4m9!1m2!2m1!1z6528652867iM66CI65OcIDM3LjUzODY3Nzc2NTQ3MzQsIDEyNy4xNDEyMjA0NDUzNDI!3m5!1s0x357cb16e265cc421:0xca7b98139950c228!8m2!3d37.5385955!4d127.1412103!15sCjLrnbzrnbzruIzroIjrk5wgMzcuNTM4Njc3NzY1NDczNCwgMTI3LjE0MTIyMDQ0NTM0MiIDiAEBWjQiMuudvOudvCDruIzroIjrk5wgMzcuNTM4Njc3NzY1NDczNCAxMjcuMTQxMjIwNDQ1MzQykgEEY2FmZQ"
270,강동구,청춘집합소,서울 강동구 진황도로29길 8,,25,확인요망,,99,,,,,,,37.53851199,127.1321077,,,,,,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png,"https://www.google.com/maps/search/%EC%B2%AD%EC%B6%98%EC%A7%91%ED%95%A9%EC%86%8C+37.5385119859067,+127.132107671568/@37.5248799,127.1075995,14z"
519,강동구,미화동,서울 강동구 천호대로 1089,b114 미화동,25,10시30분~20시,15-17시,1,1,,1,,2,,37.53660488,127.1331156,7b57cff0eea441e3bcda1ceb05171170.png,결식아동,아이 본인만,,,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/519/1e8e03053132469f92d50a9cfca774a9.jpg,"https://www.google.com/maps/search/%EB%AF%B8%ED%99%94%EB%8F%99+37.5366048791746,+127.133115595362/@37.5248799,127.1075995,14z"
1045,강동구,허브문화예술창작소,서울 강동구 천호대로 1240-13,1층,25,10:00~8:00,금요일,2,1,,"01,02",,1,,37.53586511,127.1489976,6747d5cf1fb34004a8af1963dbee0ebc.jpg,"결식아동,독거노인",아이 본인만,,,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/1045/bb8e961caafe4b6885b900c99e7d6378.jpg,
204,강북구,아이엠,서울 강북구 노해로 41,동아빌딩 2층,10,17시~02시,"월,화요일  17~18시  식사제공가능",1,1,,1,,99,파스타 메뉴,37.63930588,127.0224522,c11ace05a0cf422983dd803a6ef41891.jpg,결식아동,아이 본인만,파스타 메뉴,,,,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/204/fc4e7e4bf1bf45768d766d1d009db7d5.jpg,"https://www.google.com/maps/search/%EC%95%84%EC%9D%B4%EC%97%A0+37.6393058776416,+127.022452181913/@37.6038609,127.0313786,17z"
