idx,area,name,addr1,addr2,zipcode,open_info,close_info,type,target1_code,target1_etc,target2_code,target2_etc,item_code,item_etc,lat,lng,sup_obj,sup_num,sup_item,storeType,img_src
793,관악구,오후의과일,서울 관악구 봉천동 1599-4,2층 오후의과일,21,11~22,"매주화요일(주말토,일은제외)",1,2,,1,,1,,37.47927764,126.9534873,결식아동,동반 1인,,카페,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/793/28e2d60e920e470fa934696edf041210.jpg
173,관악구,달렘,서울 관악구 봉천동 464-25,1층 Dal.lem,21,화-토 오후2시~오후10시,,1,1,,"01,02",,2,,37.48721399,126.9480721,"결식아동,독거노인",아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
514,관악구,피자나라치킨공주,서울 관악구 봉천동 892-2,1층 피자나라치킨공주,21,12~24시,매주 화요일,1,1,,,,99,피치세트,37.48313764,126.9478424,,아이 본인만,피치세트,음식점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/514/8498b0c89ecb474aa46961a6907b3491.jpeg
536,관악구,백년카츠 관악점,서울 관악구 봉천로 391,제1싱가동 104호 백년카츠,21,11시 ~ 21시,3시~4시,1,1,,1,,99,"개별메뉴 전부(세트,정식 제외)",37.48347141,126.9432503,결식아동,아이 본인만,"개별메뉴 전부(세트,정식 제외)",돈까스 전문식당,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/536/26b8acb18b9f40e39c7fe7d10c1be490.jpg
1034,관악구,한우육회마을2호점,서울 관악구 봉천로 520-1,1층 한우육회마을2호점,21,오후6시~9시,일요일휴무,1,2,,1,,99,육회비빔밥,37.47938807,126.9557439,결식아동,동반 1인,육회비빔밥,한식당,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
753,관악구,바다가내손아귀,서울 관악구 신림동 1741,1층 cu편의점 옆,21,24시간,없음,1,99,가족포함,"01,99",소개추천,1,,37.48272396,126.9352285,"결식아동,소개추천",가족포함,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/753/081fbea249c040f6a4eb235dc32141df.jpg
770,관악구,별꿈다락,서울 관악구 장군봉1길 3,101호  별꿈다락,21,12:00~22:00,정기휴일 없음,1,1,,"01,02",,1,,37.48229543,126.9403552,"결식아동,독거노인",아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/770/6f0e5cc9e5ab43169bb21777575181c1.jpg
584,관악구,백가집,서울 관악구 호암로24길 11,1층 백가집,21,오전 11시 ~ 오후 8시,매주 토요일,1,1,,1,,1,,37.47001899,126.9339123,결식아동,아이 본인만,,한식당,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/584/71cddcaa0bd946979aef23d120417652.jpg
327,광진구,초심스터디카페 구의점,서울 광진구 광나루로 588,3층 초심스터디카페 구의점,6,24시간,없음,2,1,,1,,1,,37.5426904,127.0938461,결식아동,아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/327/e3bd39b5dd354c68b748cfd2983724eb.jpeg
176,광진구,카페더네네,서울 광진구 광나루로20가길 21,1층 카페더네네,6,07:00~17:00,"토요일, 일요일",1,2,,"01,02",,1,,37.54522363,127.0752425,"결식아동,독거노인",동반 1인,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/176/7cf6715299a74ebc930483b9063ee68f.jpg
325,광진구,초심스터디카페 광장점,서울 광진구 광장동 470-10,지하1층 초심스터디카페,6,24시간,365일 영업,2,1,,1,,1,,37.54141746,127.0976335,결식아동,아이 본인만,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/325/5ab428e70dac45cea736b2335220a6a9.jpeg
392,광진구,먹오삼,서울 광진구 구의로 8,1층,6,오전 11:30~ 오후 11:30,평일 오후 3시~5시,1,2,,1,,1,,37.53866603,127.0893767,결식아동,동반 1인,,음식점,https://xn--o39akkz01az4ip7f4xzwoa.com/images/header_logo.png
984,광진구,프레드피자건대점,서울 광진구 아차산로 345,102동 130호,6,09:00 ~ 04:30,연중무휴,1,1,,1,,99,피자L한판+음료,37.53750524,127.081583,결식아동,아이 본인만,피자L한판+음료,피자 전문점,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/984/1aa72e8914fc4fb1b726fe7be2ea7f78.png
552,광진구,와플소녀,서울 광진구 용마산로22길 12,1층 와플소녀,6,12:00 ~ 19:30,주말,1,99,누구든지!,"01,02",,1,,37.56352347,127.0877256,"결식아동,독거노인",누구든지!,,,https://xn--o39akkz01az4ip7f4xzwoa.com//file/store/552/1632fc534e524b0bbc8c7113dd56fc4c.jpg
